Ionization energy (eV): 13.9996055,
Energy (eV) Rate coefficient (m3/s),
1,1.81E-23
2,6.78E-19
3,2.86E-17
4,2.02E-16
5,6.77E-16
6,1.56E-15
7,2.87E-15
8,4.59E-15
9,6.66E-15
10,9.03E-15
11,1.16E-14
12,1.44E-14
13,1.74E-14
14,2.04E-14
15,2.35E-14
16,2.67E-14
17,2.99E-14
18,3.31E-14
19,3.62E-14
20,3.94E-14
21,4.25E-14
22,4.56E-14
23,4.87E-14
24,5.17E-14
25,5.46E-14
26,5.75E-14
27,6.04E-14
28,6.32E-14
29,6.59E-14
30,6.86E-14
31,7.12E-14
32,7.38E-14
33,7.63E-14
34,7.88E-14
35,8.12E-14
36,8.36E-14
37,8.59E-14
38,8.82E-14
39,9.04E-14
40,9.26E-14
41,9.47E-14
42,9.68E-14
43,9.89E-14
44,1.01E-13
45,1.03E-13
46,1.05E-13
47,1.07E-13
48,1.08E-13
49,1.10E-13
50,1.12E-13
51,1.14E-13
52,1.15E-13
53,1.17E-13
54,1.19E-13
55,1.20E-13
56,1.22E-13
57,1.23E-13
58,1.25E-13
59,1.26E-13
60,1.28E-13
61,1.29E-13
62,1.31E-13
63,1.32E-13
64,1.33E-13
65,1.35E-13
66,1.36E-13
67,1.37E-13
68,1.38E-13
69,1.40E-13
70,1.41E-13
71,1.42E-13
72,1.43E-13
73,1.44E-13
74,1.45E-13
75,1.46E-13
76,1.47E-13
77,1.49E-13
78,1.50E-13
79,1.51E-13
80,1.52E-13
81,1.53E-13
82,1.54E-13
83,1.54E-13
84,1.55E-13
85,1.56E-13
86,1.57E-13
87,1.58E-13
88,1.59E-13
89,1.60E-13
90,1.61E-13
91,1.61E-13
92,1.62E-13
93,1.63E-13
94,1.64E-13
95,1.65E-13
96,1.65E-13
97,1.66E-13
98,1.67E-13
99,1.68E-13
100,1.68E-13
101,1.69E-13
102,1.70E-13
103,1.70E-13
104,1.71E-13
105,1.72E-13
106,1.72E-13
107,1.73E-13
108,1.74E-13
109,1.74E-13
110,1.75E-13
111,1.76E-13
112,1.76E-13
113,1.77E-13
114,1.77E-13
115,1.78E-13
116,1.78E-13
117,1.79E-13
118,1.80E-13
119,1.80E-13
120,1.81E-13
121,1.81E-13
122,1.82E-13
123,1.82E-13
124,1.83E-13
125,1.83E-13
126,1.84E-13
127,1.84E-13
128,1.85E-13
129,1.85E-13
130,1.86E-13
131,1.86E-13
132,1.86E-13
133,1.87E-13
134,1.87E-13
135,1.88E-13
136,1.88E-13
137,1.89E-13
138,1.89E-13
139,1.89E-13
140,1.90E-13
141,1.90E-13
142,1.91E-13
143,1.91E-13
144,1.91E-13
145,1.92E-13
146,1.92E-13
147,1.93E-13
148,1.93E-13
149,1.93E-13
150,1.94E-13
